Area_Name	Year	Group_Name	Cases_Convicted	Cases_Reported
Jharkhand	2002	Kidnapping & Abduction - Women & Girls	26	178
Karnataka	2002	Kidnapping & Abduction - Women & Girls	5	300
Kerala	2002	Kidnapping & Abduction - Women & Girls	6	91
Lakshadweep	2002	Kidnapping & Abduction - Women & Girls	0	0
Madhya Pradesh	2002	Kidnapping & Abduction - Women & Girls	96	639
Maharashtra	2002	Kidnapping & Abduction - Women & Girls	29	650
Manipur	2002	Kidnapping & Abduction - Women & Girls	1	82
Meghalaya	2002	Kidnapping & Abduction - Women & Girls	0	10
Mizoram	2002	Kidnapping & Abduction - Women & Girls	1	2
Nagaland	2002	Kidnapping & Abduction - Women & Girls	0	4
Odisha	2002	Kidnapping & Abduction - Women & Girls	39	432
Puducherry	2002	Kidnapping & Abduction - Women & Girls	1	6
Punjab	2002	Kidnapping & Abduction - Women & Girls	36	354
Rajasthan	2002	Kidnapping & Abduction - Women & Girls	190	2019
Sikkim	2002	Kidnapping & Abduction - Women & Girls	0	2
Tamil Nadu	2002	Kidnapping & Abduction - Women & Girls	66	714
Tripura	2002	Kidnapping & Abduction - Women & Girls	1	48
Uttar Pradesh	2002	Kidnapping & Abduction - Women & Girls	825	2298
Uttarakhand	2002	Kidnapping & Abduction - Women & Girls	52	155
West Bengal	2002	Kidnapping & Abduction - Women & Girls	71	694
Andaman & Nicobar Islands	2003	Kidnapping & Abduction - Women & Girls	0	2
Andhra Pradesh	2003	Kidnapping & Abduction - Women & Girls	31	931
Arunachal Pradesh	2003	Kidnapping & Abduction - Women & Girls	1	51
Assam	2003	Kidnapping & Abduction - Women & Girls	102	1351
Bihar	2003	Kidnapping & Abduction - Women & Girls	77	674
Chandigarh	2003	Kidnapping & Abduction - Women & Girls	2	28
Chhattisgarh	2003	Kidnapping & Abduction - Women & Girls	25	149
Dadra & Nagar Haveli	2003	Kidnapping & Abduction - Women & Girls	1	4
Daman & Diu	2003	Kidnapping & Abduction - Women & Girls	0	1
Delhi	2003	Kidnapping & Abduction - Women & Girls	14	797
Goa	2003	Kidnapping & Abduction - Women & Girls	0	13
Gujarat	2003	Kidnapping & Abduction - Women & Girls	31	859
Haryana	2003	Kidnapping & Abduction - Women & Girls	50	271
Himachal Pradesh	2003	Kidnapping & Abduction - Women & Girls	7	96
Jammu & Kashmir	2003	Kidnapping & Abduction - Women & Girls	2	615
Jharkhand	2003	Kidnapping & Abduction - Women & Girls	36	262
Karnataka	2003	Kidnapping & Abduction - Women & Girls	1	244
Kerala	2003	Kidnapping & Abduction - Women & Girls	4	102
Lakshadweep	2003	Kidnapping & Abduction - Women & Girls	0	0
Madhya Pradesh	2003	Kidnapping & Abduction - Women & Girls	158	608
Maharashtra	2003	Kidnapping & Abduction - Women & Girls	28	626
Manipur	2003	Kidnapping & Abduction - Women & Girls	1	71
Meghalaya	2003	Kidnapping & Abduction - Women & Girls	0	10
Mizoram	2003	Kidnapping & Abduction - Women & Girls	2	2
Nagaland	2003	Kidnapping & Abduction - Women & Girls	2	3
Odisha	2003	Kidnapping & Abduction - Women & Girls	52	373
Puducherry	2003	Kidnapping & Abduction - Women & Girls	0	13
Punjab	2003	Kidnapping & Abduction - Women & Girls	25	295
Rajasthan	2003	Kidnapping & Abduction - Women & Girls	188	1750
Sikkim	2003	Kidnapping & Abduction - Women & Girls	1	0
Tamil Nadu	2003	Kidnapping & Abduction - Women & Girls	37	632
Tripura	2003	Kidnapping & Abduction - Women & Girls	10	29
Uttar Pradesh	2003	Kidnapping & Abduction - Women & Girls	631	1499
Uttarakhand	2003	Kidnapping & Abduction - Women & Girls	20	134
West Bengal	2003	Kidnapping & Abduction - Women & Girls	66	801
Andaman & Nicobar Islands	2004	Kidnapping & Abduction - Women & Girls	1	3
Andhra Pradesh	2004	Kidnapping & Abduction - Women & Girls	50	1030
Arunachal Pradesh	2004	Kidnapping & Abduction - Women & Girls	2	41
Assam	2004	Kidnapping & Abduction - Women & Girls	95	1552
Bihar	2004	Kidnapping & Abduction - Women & Girls	71	997
Chandigarh	2004	Kidnapping & Abduction - Women & Girls	1	43
Chhattisgarh	2004	Kidnapping & Abduction - Women & Girls	77	174
Dadra & Nagar Haveli	2004	Kidnapping & Abduction - Women & Girls	0	7
Daman & Diu	2004	Kidnapping & Abduction - Women & Girls	0	0
